,FIPS,x,y
1980,38031,12.524463,-0.61773294
1981,38033,14.953429,-0.07283529
1982,38035,6.2216616,-6.3424945
1983,38037,16.174154,0.50974315
1984,38039,15.559683,0.17644323
1985,38041,11.919843,-1.7537953
1986,38043,15.116764,0.3426333
1987,38045,13.15235,-1.3036516
1988,38047,15.008433,0.053142153
1989,38049,11.1845455,-1.351559
1990,38051,16.182432,0.5111377
1991,38053,4.224953,-5.762624
1992,38055,13.933745,-1.2024055
1993,38057,12.790108,-1.8174058
1994,38059,2.7669587,-2.6979249
1995,38061,6.1390934,-2.4381816
1996,38063,14.90635,0.24311535
1997,38065,12.382027,-2.2441015
1998,38067,13.93555,-1.1732296
1999,38069,13.009739,-1.3694435
2000,38071,10.979467,-0.7912747
2001,38073,13.550522,-1.2505443
2002,38075,12.78874,-1.5788378
2003,38077,12.673919,-2.0667443
2004,38079,11.466358,-7.9557376
2005,38081,12.420287,-0.5986549
2006,38083,16.158333,0.48387772
2007,38085,11.3352585,-8.266689
2008,38087,3.7271066,3.6477063
2009,38089,7.8052206,-4.3822618
2010,38091,13.616804,-0.65107244
2011,38093,6.8366914,3.8341665
2012,38095,15.025041,0.0667696
2013,38097,11.260649,-0.58853066
2014,38099,11.221265,-1.3249167
2015,38101,6.082713,-2.462474
2016,38103,15.331828,0.36870342
2017,38105,4.222843,-5.750112
2018,39001,9.18874,2.1863306
2019,39003,3.5484273,0.32486308
2020,39005,7.0802174,-0.41689765
2021,39007,9.224088,4.5128655
2022,39009,6.5416436,-6.758686
2023,39011,7.003247,-2.3429778
2024,39013,11.852014,5.294119
2025,39015,7.2780976,-0.54106134
2026,39017,5.49867,2.0385032
2027,39019,11.54707,1.2525114
2028,39021,5.7264347,4.0923705
2029,39023,11.010179,0.36432272
2030,39025,5.8294835,-3.8303273
2031,39027,6.6814165,2.2420921
2032,39029,7.3881807,4.2717037
2033,39031,7.723244,2.1662588
2034,39033,9.361704,5.272696
2035,39035,1.0666837,-2.3649447
2036,39037,7.3589344,-0.44446597
2037,39039,5.6991143,4.066082
2038,39041,3.7970083,-5.571533
2039,39043,11.575906,1.0814596
2040,39045,5.288029,-3.269443
2041,39047,9.10739,2.642117
2042,39049,1.0942416,-2.701229
2043,39051,5.7142677,3.965828
2044,39053,9.2209635,4.4550624
2045,39055,7.0651994,-0.9941713
2046,39057,5.4843273,-0.9501732
2047,39059,8.258845,3.1119523
2048,39061,1.6108706,-2.1783009
2049,39063,6.601016,-0.30512908
2050,39065,8.015697,0.27132025
2051,39067,9.368384,5.425293
2052,39069,5.6881638,4.078365
2053,39071,9.177482,2.619194
2054,39073,5.941623,4.323415
2055,39075,7.981997,-3.9917212
2056,39077,7.275222,-0.518451
2057,39079,8.905047,2.2912135
2058,39081,10.7281885,5.6483645
2059,39083,5.6448684,3.8038218
2060,39085,1.222475,-1.0376301
2061,39087,8.13439,3.1049793
2062,39089,5.384326,-3.3869863
2063,39091,7.2908545,-0.5416916
2064,39093,6.0849557,1.5214125
2065,39095,5.785214,2.3666034
2066,39097,6.172702,-4.7522354
2067,39099,2.4360514,0.85174125
2068,39101,8.243203,10.178356
2069,39103,6.062263,-3.8625515
2070,39105,9.3231325,5.1862197
2071,39107,7.7283754,-2.0498748
2072,39109,6.876841,-2.4773238
2073,39111,11.587052,1.207509
2074,39113,1.8047086,-1.8825778
2075,39115,9.402052,5.3839836
2076,39117,5.6446795,3.7667813
2077,39119,5.7439017,1.1415603
2078,39121,8.729804,7.730472
2079,39123,17.22102,1.8571829
2080,39125,7.2811246,2.1130354
2081,39127,7.04824,2.5432444
2082,39129,5.1600084,-3.8272085
2083,39131,9.101072,2.2911892
2084,39133,16.09106,6.2489624
2085,39135,5.707911,4.1443133
2086,39137,7.001017,-2.3437476
2087,39139,5.9710207,-0.467258
2088,39141,5.713974,0.9846337
2089,39143,10.8017235,-0.04503929
2090,39145,7.7947383,2.9935513
2091,39147,6.7146573,2.036874
2092,39149,7.014369,-2.3275118
2093,39151,2.5550406,0.82972443
2094,39153,1.4234875,-1.9129455
2095,39155,12.687693,5.2894664
2096,39157,7.5345206,2.1625109
2097,39159,3.8948371,-5.4382052
2098,39161,7.3357763,-0.48948413
2099,39163,9.509658,4.178171
2100,39165,5.929885,-4.0870566
2101,39167,12.709005,4.202172
2102,39169,5.6421967,-4.242517
2103,39171,10.428595,-0.5457498
2104,39173,16.091042,6.2487855
2105,39175,7.248779,2.0960379
2106,40001,9.767387,0.7985355
2107,40003,8.424938,10.333649
2108,40005,7.1792216,8.244969
2109,40007,10.941336,-2.1544318
2110,40009,8.710197,-2.7607188
2111,40011,11.29197,-2.040593
2112,40013,7.960995,0.21023963
2113,40015,8.768863,-2.7140892
2114,40017,4.2051625,-5.366384
2115,40019,8.884747,2.2657948
2116,40021,7.641371,2.8711977
2117,40023,11.913031,2.8283045
2118,40025,15.451987,0.58845496
2119,40027,5.298357,-3.6625524
2120,40029,10.746107,3.0737936
2121,40031,8.608977,-2.9256992
2122,40033,10.532412,3.901517
2123,40035,7.184273,8.222575
2124,40037,6.421152,1.4994622
2125,40039,7.685839,1.4719261
2126,40041,13.735382,1.8372638
2127,40043,10.951252,-2.094235
2128,40045,11.9015255,-1.716179
2129,40047,8.012635,-2.2658968
2130,40049,8.952298,1.2726172
2131,40051,6.7036147,-3.4194233
2132,40053,11.900446,-1.719483
2133,40055,7.8245816,10.003816
2134,40057,12.957347,1.9311793
2135,40059,10.991121,-2.0412784
2136,40061,10.461158,3.125215
2137,40063,7.1796656,8.33996
2138,40065,8.052226,-2.2263095
2139,40067,12.975783,1.8627638
2140,40069,10.568273,3.9332259
2141,40071,10.956974,-1.5701041
2142,40073,7.6908,-2.2655847
2143,40075,13.144024,1.0699215
2144,40077,11.488324,-0.8713679
2145,40079,10.792819,3.3252294
2146,40081,6.4509234,1.31094
2147,40083,5.8357015,-4.3885064
2148,40085,7.495895,0.71811604
2149,40087,4.647713,-3.6330588
2150,40089,9.156296,1.6467466
2151,40091,13.793048,1.8966135
2152,40093,10.946251,-2.2091138
2153,40095,13.127149,1.4469874
2154,40097,10.416011,-1.0439003
2155,40099,9.604075,2.806939
2156,40101,8.90915,2.280693
2157,40103,9.751938,2.6097047
2158,40105,10.78989,4.02074
2159,40107,8.486017,8.050805
2160,40109,3.6083162,-1.4814813
2161,40111,10.865222,3.8489654
2162,40113,7.1745973,3.9145443
2163,40115,8.461257,2.3930433
2164,40117,9.735621,2.6532578
2165,40119,6.612369,11.816005
2166,40121,10.842034,4.503703
2167,40123,8.73845,1.6255177
2168,40125,8.111448,0.57383096
2169,40127,13.382566,1.5358657
2170,40129,11.218606,-2.08414
2171,40131,5.3523703,-2.728814
2172,40133,10.919775,3.819768
2173,40135,8.730845,2.8891537
2174,40137,9.7275915,2.6604922
2175,40139,8.221567,-3.910102
2176,40141,13.050628,1.6626805
2177,40143,3.6083753,-1.5234691
2178,40145,5.2316403,-2.920932
2179,40147,9.743548,2.6171165
2180,40149,8.938033,1.2274976
2181,40151,7.551324,8.7968445
2182,40153,8.691013,-2.727878
2183,41001,13.676013,0.3792325
2184,41003,6.3134747,-6.552011
2185,41005,1.9571702,-0.49942276
2186,41007,11.153478,5.6297984
2187,41009,2.4787784,-0.08342876
2188,41011,13.943802,0.25421903
2189,41013,17.13465,4.415282
2190,41015,17.954813,0.066237055
2191,41017,2.345262,-0.051078063
2192,41019,13.938612,0.2619445
2193,41021,15.672591,-0.04151037
2194,41023,13.939942,0.6590663
2195,41025,14.052745,6.1536565
2196,41027,5.0605946,-3.0818746
2197,41029,6.262566,0.23739162
2198,41031,3.51401,0.35483432
2199,41033,13.941816,0.25445572
2200,41035,3.8161495,0.59958
2201,41037,14.055355,6.143904
2202,41039,2.7719624,0.34393418
2203,41041,17.400621,-0.10840114
2204,41043,0.78941226,-5.360367
2205,41045,3.895821,-1.7225505
2206,41047,3.4945211,1.414401
2207,41049,7.633031,-3.4913416
2208,41051,1.4276977,-2.2938612
2209,41053,5.253353,-2.1505249
2210,41055,14.806861,0.29822856
2211,41057,17.345211,1.8632956
2212,41059,3.8711414,-1.7311392
2213,41061,6.31617,0.030950764
2214,41063,13.933478,0.6489791
2215,41065,6.2879004,0.021022642
2216,41067,1.5647244,-2.4772816
2217,41069,16.08247,0.42232355
2218,41071,5.2334003,-2.133258
2219,42001,1.2652917,-0.9529747
2220,42003,1.0670853,-2.3674679
2221,42005,9.522933,5.5723076
2222,42007,2.3853357,0.7476698
2223,42009,12.437912,5.084618
2224,42011,1.7511094,-1.7711056
2225,42013,12.685492,5.2750483
2226,42015,11.429368,1.4379673
2227,42017,0.58935505,-1.3784093
2228,42019,1.3098785,-0.9909862
2229,42021,12.85143,4.968563
2230,42023,18.483313,1.279955
2231,42025,12.549184,4.4460206
2232,42027,6.543654,-6.764937
2233,42029,0.43359032,-1.4895884
2234,42031,12.215758,5.021749
2235,42033,7.3988466,4.4230304
2236,42035,12.310729,4.963058
2237,42037,12.41295,4.80484
2238,42039,9.335293,5.5823402
2239,42041,0.8039112,0.009022716
2240,42043,1.8063083,-1.8141763
2241,42045,1.1362594,-2.4377127
2242,42047,9.490157,5.6163754
2243,42049,2.561775,0.8338917
2244,42051,12.744699,5.152746
2245,42053,18.458403,1.3747967
2246,42055,7.0256186,-0.41769463
2247,42057,12.323282,4.972139
2248,42059,11.915176,5.251137
2249,42061,7.3866954,4.4349837
2250,42063,2.54507,0.80892044
2251,42065,11.436639,1.439716
2252,42067,7.153934,-0.43479574
2253,42069,2.5439086,0.84218484
2254,42071,5.201033,-3.0478048
2255,42073,12.689575,5.2896028
2256,42075,7.022849,-0.4171929
2257,42077,1.6154695,-1.8098387
2258,42079,2.4843495,0.8673408
2259,42081,2.4135792,0.73738563
2260,42083,11.969819,5.211612
2261,42085,12.693948,5.207234
2262,42087,11.430599,1.4369404
2263,42089,16.089306,6.2481217
2264,42091,0.37119913,-1.6408905
2265,42093,7.0795994,-0.3656991
2266,42095,1.3864269,-1.1743864
2267,42097,12.507426,5.114871
2268,42099,6.943636,-0.42108756
2269,42101,18.446527,-4.617343
2270,42103,17.16198,1.9123545
2271,42105,16.792973,1.7812889
2272,42107,12.744372,5.153412
2273,42109,7.0517335,-0.3956297
2274,42111,7.380285,4.441693
2275,42113,18.549274,1.3353028
2276,42115,15.92804,2.9193058
2277,42117,12.881818,4.801071
2278,42119,6.1872983,-4.773396
2279,42121,12.910049,4.8239903
2280,42123,16.127571,2.8532372
2281,42125,1.2711323,-0.9624101
2282,42127,15.98321,2.9604328
2283,42129,2.193188,0.6660089
2284,42131,9.481055,5.5091686
2285,42133,1.8220496,-1.7379031
2286,44003,1.0740936,-1.2825353
2287,44005,18.010336,-0.7725551
2288,44007,1.1303138,-2.2077563
2289,44009,1.5631704,0.4397834
2290,45001,10.906797,5.6347556
2291,45003,6.5678725,1.56225
2292,45005,7.3216357,8.72781
2293,45007,8.028871,-0.029379081
2294,45009,12.090689,3.3677468
2295,45011,9.036048,3.9112823
2296,45013,6.9997344,4.8750863
2297,45015,4.539663,-4.554872
2298,45017,10.678722,5.6408477
2299,45019,2.0727994,-1.9220668
2300,45021,7.289603,2.4833336
2301,45023,9.0435,2.9862857
2302,45025,9.127576,3.1328387
2303,45027,12.21854,3.472592
2304,45029,10.61068,4.8801527
2305,45031,8.940496,3.052152
2306,45033,9.662518,1.4922371
2307,45035,4.635895,-4.437393
2308,45037,7.791738,9.915288
2309,45039,12.125545,3.3955183
2310,45041,6.843152,2.164146
2311,45043,17.366875,0.13174598
2312,45045,5.4454947,2.0441575
2313,45047,8.323628,2.4610033
2314,45049,8.05267,8.7720995
2315,45051,10.182486,5.633685
2316,45053,6.675376,0.90719515
2317,45055,8.052657,-0.09205022
2318,45057,5.9377146,-1.1164675
2319,45059,9.008942,3.0585382
2320,45061,8.065506,8.792485
2321,45063,5.465224,2.0503273
2322,45065,15.022392,2.547255
2323,45067,8.809096,3.060067
2324,45069,7.3402476,8.720969
2325,45071,8.047713,4.2894015
2326,45073,10.005997,5.4115205
2327,45075,11.972946,3.2976131
2328,45077,2.9015503,0.65719754
2329,45079,6.47071,-6.4064293
2330,45081,7.9962816,4.329849
2331,45083,5.5049295,2.0951936
2332,45085,8.021087,2.009065
2333,45087,10.975321,5.57401
2334,45089,11.87546,3.2465346
2335,45091,4.5978255,-4.513909
2336,46003,10.558305,-1.5717916
2337,46005,7.858878,-2.8577766
2338,46007,11.302253,-8.243959
2339,46009,8.42169,10.332335
2340,46011,13.8042145,7.3400655
2341,46013,6.877405,-1.8720654
2342,46015,11.350465,-2.0429199
2343,46017,11.304687,-8.194491
2344,46019,10.023366,3.0939891
2345,46021,17.274467,1.2617317
2346,46023,8.08378,-3.191761
2347,46025,10.632954,-1.6260113
2348,46027,6.611155,11.818104
2349,46029,6.843974,-1.8130965
2350,46031,11.322757,-8.256739
2351,46033,17.05655,-0.3255839
2352,46035,6.856753,-1.8102033
2353,46037,16.873482,2.3736167
2354,46039,13.909167,-1.7741386
2355,46041,11.327954,-8.16926
2356,46043,3.600996,3.7621884
2357,46045,10.934759,-1.1800535
2358,46047,19.787256,2.6002936
2359,46049,11.059157,-2.1862001
2360,46051,11.123571,-1.1680174
2361,46053,15.488961,0.55962515
2362,46055,3.6128461,3.7503223
2363,46057,7.8532615,-2.8440619
2364,46059,14.978974,-0.08447544
2365,46061,4.6054926,-6.3424177
2366,46063,12.674179,-2.0572448
2367,46065,6.9797363,-2.456173
2368,46067,11.020691,-2.2118967
2369,46069,3.7434316,3.6301627
2370,46071,11.291622,-8.227591
2371,46073,14.796878,0.029509364
2372,46075,16.934994,2.357125
2373,46077,3.715519,3.6583054
2374,46079,6.499749,4.5384355
2375,46081,12.642464,4.5280266
