,FIPS,x,y,cluster
0,01001,6.041998,7.7819657,19
1,01003,5.494408,4.9214892,8
2,01005,0.24996628,3.1201482,1
3,01007,16.701536,2.7348886,2
4,01009,16.145048,2.546278,2
5,01011,0.4672361,3.851873,1
6,01013,20.142876,6.4820476,18
7,01015,15.502932,2.1944244,2
8,01017,3.1230052,2.003496,5
9,01019,6.0356884,-0.71803135,17
10,01021,15.084564,3.2804165,13
11,01023,2.5758698,1.3522875,5
12,01025,20.115103,6.4541354,18
13,01027,4.586541,1.5018256,16
14,01029,14.141101,-0.6083207,2
15,01031,5.302019,7.336437,9
16,01033,15.7393265,1.8892351,2
17,01035,5.0462666,-2.190311,17
18,01037,6.29399,-0.75498825,17
19,01039,15.032181,2.2389815,2
20,01041,14.849303,2.3769605,2
21,01043,5.2289476,7.395306,9
22,01045,15.515285,2.4705193,2
23,01047,1.0686023,4.645263,1
24,01049,1.2228384,5.2043757,1
25,01051,16.198982,4.7831464,13
26,01053,0.5522701,4.1887503,1
27,01055,15.540425,2.2007704,2
28,01057,3.0308878,2.9770606,12
29,01059,14.790989,3.301275,13
30,01061,14.995061,2.2783012,2
31,01063,5.041925,-2.1894622,17
32,01065,20.086508,6.423186,18
33,01067,15.0668,1.9038055,2
34,01069,15.620773,2.8045578,2
35,01071,14.953546,2.3058197,2
36,01073,15.63878,3.5766628,13
37,01075,14.99057,1.894146,2
38,01077,15.75376,1.7997375,2
39,01079,15.105013,2.5408096,2
40,01081,5.376094,11.010863,10
41,01083,16.229643,4.7946243,13
42,01085,20.124876,6.4640827,18
43,01087,14.777201,2.0451822,2
44,01089,15.909068,4.6832,13
45,01091,20.103756,6.442539,18
46,01093,14.985003,2.195739,2
47,01095,14.830854,3.5952039,13
48,01097,1.8284274,7.6575027,7
49,01099,4.3000054,1.388815,16
50,01101,1.8225291,7.6692686,7
51,01103,15.998019,2.7062702,2
52,01105,2.427352,0.20453341,5
53,01107,15.397828,2.174427,2
54,01109,2.9961216,11.472068,10
55,01111,14.935001,2.2725863,2
56,01113,4.3948064,7.8857083,9
57,01115,6.780477,9.712365,19
58,01117,16.387476,4.779347,13
59,01119,20.126667,6.4668636,18
60,01121,15.476712,2.1201918,2
61,01123,-5.4903665,9.402883,4
62,01125,15.884287,4.7719545,13
63,01127,4.987363,4.896069,8
64,01129,14.930947,2.292259,2
65,01131,20.065763,6.404057,18
66,01133,-5.4903626,9.402873,4
67,02013,-2.920073,7.5245624,4
68,02016,-2.9072082,7.534787,4
69,02020,7.1011066,13.376326,6
70,02050,7.5529456,6.13565,8
71,02060,8.482116,-6.485564,0
72,02070,7.59475,6.153573,8
73,02090,7.017746,13.506996,6
74,02100,6.4360023,-0.088078395,16
75,02110,8.236821,11.034325,6
76,02122,7.155347,5.870154,8
77,02130,1.0584581,11.324526,10
78,02150,7.0410557,13.4673195,6
79,02164,7.4061675,6.046871,8
80,02170,6.859491,13.699186,6
81,02180,7.541128,6.1242666,8
82,02185,6.859161,13.699781,6
83,02188,7.545735,6.1335483,8
84,02220,6.766201,5.7797885,8
85,02240,7.256676,5.930151,8
86,02261,7.2698298,5.937903,8
87,02282,7.843225,2.535218,15
88,02290,7.322557,5.9822435,8
89,04001,2.267215,6.741191,7
90,04003,14.962058,1.7647121,2
91,04005,15.888096,4.7632036,13
92,04007,6.9462,-1.9995286,17
93,04009,7.326525,11.484248,6
94,04011,6.8195267,5.9331136,8
95,04012,7.425955,-2.849251,17
96,04013,10.049985,12.287385,14
97,04015,11.242016,-1.1240302,0
98,04017,2.3568826,6.8402824,7
99,04019,8.319051,8.731098,3
100,04021,6.347282,4.8364797,8
101,04023,1.879722,6.10246,1
102,04025,11.261378,-1.2555916,0
103,04027,3.003307,9.052272,7
104,05001,2.7759767,2.7963684,12
105,05003,3.1496377,2.6566055,12
106,05005,11.216241,-0.9747698,0
107,05007,8.406978,11.887752,6
108,05009,4.433924,3.7156482,12
109,05011,14.863278,2.3695378,2
110,05013,4.6509557,1.5541313,16
111,05015,3.6684022,1.5453942,5
112,05017,20.118074,6.45578,18
113,05019,2.8099802,11.490003,10
114,05021,2.176577,2.4056706,5
115,05023,6.4317746,-1.3168991,17
116,05025,2.2938976,2.323463,5
117,05027,2.7801294,11.319915,10
118,05029,2.913528,4.37098,12
119,05031,15.095328,3.9124548,13
120,05033,3.0162847,7.787788,7
121,05035,1.8260497,7.6249204,7
122,05037,2.565076,4.8261175,12
123,05039,2.2284985,1.1082245,5
124,05041,20.109797,6.448406,18
125,05043,2.7969184,11.338186,10
126,05045,5.4181724,10.972161,10
127,05047,2.801652,4.535305,12
128,05049,5.889986,-1.589137,17
129,05051,3.0127025,1.413588,5
130,05053,5.603817,6.4750667,9
131,05055,2.7732694,7.3406982,7
132,05057,1.5439072,5.2195725,1
133,05059,0.3001435,2.9452567,1
134,05061,14.723056,3.2649317,13
135,05063,3.3178725,7.5708747,9
136,05065,6.3325615,-0.79120713,17
137,05067,2.720857,11.249651,10
138,05069,1.395529,4.5672293,1
139,05071,14.434809,3.761683,13
140,05073,5.950359,-1.6113614,17
141,05075,15.076301,2.335579,2
142,05077,0.13083173,3.353248,1
143,05079,-2.8482723,7.5806866,4
144,05081,3.9828887,3.819839,12
145,05083,2.8991604,4.344678,12
146,05085,15.28564,4.8277082,13
147,05087,1.243229,5.073286,1
148,05089,5.868704,-1.5996602,17
149,05091,2.9837441,6.0424,9
150,05093,14.756138,4.0736437,13
151,05095,5.927169,-1.6017226,17
152,05097,11.298651,-0.75876445,0
153,05099,3.1329765,2.6057084,12
154,05101,6.1987123,-1.407683,17
155,05103,3.5329945,0.04098278,5
156,05105,5.1589785,4.8886385,8
157,05107,1.7006171,6.318839,1
158,05109,2.1963465,2.3593638,5
159,05111,14.765596,3.2182038,13
160,05113,3.7795174,0.34469151,5
161,05115,4.267756,7.760192,9
162,05117,11.446209,-0.5453482,0
163,05119,15.486846,3.6789837,13
164,05121,5.130435,4.8740783,8
165,05123,0.405099,3.7474568,1
166,05125,7.130032,9.895553,19
167,05127,3.3656654,2.9693527,12
168,05129,6.0036726,-1.212416,17
169,05131,8.563868,9.244169,3
170,05133,2.8636434,9.112152,7
171,05135,2.5660126,1.3354472,5
172,05137,5.828702,-1.5865571,17
173,05139,1.1554265,5.627275,1
174,05141,6.207518,-1.3959326,17
175,05143,7.546144,10.752495,6
176,05145,15.202431,3.1599073,13
177,05147,5.060625,-2.1747942,17
178,05149,14.856894,3.2547724,13
179,06001,9.37171,11.505718,6
180,06003,9.0804615,-3.0836895,0
181,06005,6.4826903,0.70134664,16
182,06007,8.656585,8.326623,3
183,06009,6.873176,0.6739947,16
184,06011,3.0866406,9.112426,7
185,06013,10.41334,11.434213,14
186,06015,11.065976,7.1159377,11
187,06017,5.5450907,3.4626062,12
188,06019,7.9537416,6.361565,8
189,06021,3.0797424,9.0369,7
190,06023,9.064741,8.2699375,3
191,06025,3.0009723,9.089398,7
192,06027,8.690732,7.0026455,3
193,06029,7.9209356,6.343912,8
194,06031,6.9807973,10.911229,6
195,06033,7.587879,1.3561046,15
196,06035,-2.8402276,7.589871,4
197,06037,10.220979,12.128875,14
198,06039,7.971437,6.3839455,8
199,06041,10.440556,11.396046,14
200,06043,6.857813,0.7120205,16
201,06045,8.587801,7.7306356,3
202,06047,7.962916,6.3690405,8
203,06049,7.760387,1.1300576,15
204,06051,8.480198,-6.4815865,0
205,06053,10.297198,11.136532,14
206,06055,9.596012,10.044327,3
207,06057,7.036421,0.5607088,16
208,06059,10.2336855,12.035889,14
209,06061,9.749514,10.107529,3
210,06063,8.284043,-2.8376195,0
211,06065,9.990833,12.328832,14
212,06067,10.138968,12.133755,14
213,06069,7.981058,12.268671,6
214,06071,10.005614,12.304418,14
215,06073,10.21369,12.073247,14
216,06075,5.3969836,11.5263815,10
217,06077,7.023419,10.974112,6
218,06079,9.627874,10.078156,3
219,06081,10.348285,11.597565,14
220,06083,10.379773,11.191061,14
221,06085,10.296846,11.837987,14
222,06087,9.139141,10.42102,3
223,06089,8.581075,7.8183665,3
224,06091,8.225082,-2.8662205,0
225,06093,7.6267557,0.9188459,15
226,06095,10.352693,11.141801,14
227,06097,9.591133,10.086777,3
228,06099,7.00707,10.966101,6
229,06101,6.9962573,10.969521,6
230,06103,8.342356,8.851658,3
231,06105,8.429503,-2.489324,0
232,06107,7.967983,6.3690248,8
233,06109,6.8266234,0.69121814,16
234,06111,10.388208,11.319174,14
235,06113,5.332398,11.078735,10
236,06115,7.159069,11.519978,6
237,08001,10.370614,10.749296,14
238,08003,4.3513794,8.013748,9
239,08005,10.403571,11.658708,14
240,08007,7.09559,-0.9835309,17
241,08009,7.584855,-1.1223364,17
242,08011,-2.9068878,7.5352364,4
243,08013,11.2824955,11.405223,14
244,08014,7.4543295,12.924307,6
245,08015,6.42996,0.7175953,16
246,08017,7.6527495,4.063457,8
247,08019,6.7238407,-0.079059,16
248,08021,2.39586,6.8676085,7
249,08023,8.593412,-1.5559244,0
250,08025,-2.9189854,7.5254683,4
251,08027,7.871171,-2.958311,0
252,08029,16.23393,2.448941,2
253,08031,5.4065375,11.454436,10
254,08033,8.591209,-1.7381444,0
255,08035,8.656259,12.9137745,6
256,08037,5.7550583,1.1899469,16
257,08039,7.436978,12.906374,6
258,08041,8.378111,11.079143,6
259,08043,6.350061,0.7787519,16
260,08045,8.172667,10.379949,3
261,08047,6.680623,-0.0022976177,16
262,08049,8.4817705,-6.484967,0
263,08051,5.691454,1.1944695,16
264,08053,9.11526,-3.1498253,0
265,08055,8.291548,-3.2746644,0
266,08057,9.218717,-2.9324083,0
267,08059,11.2818575,11.457282,14
268,08061,8.620159,0.43096453,0
269,08063,7.639874,3.9955907,8
270,08065,5.234104,1.4308295,16
271,08067,5.7966123,8.302123,19
272,08069,6.0704226,10.939533,10
273,08071,7.252299,-1.0734651,17
274,08073,11.1297865,6.849441,11
275,08075,10.15967,6.1427855,11
276,08077,8.240397,8.859095,3
277,08079,9.163491,-3.144372,0
278,08081,6.804329,5.7978625,8
279,08083,5.2386584,4.829588,8
280,08085,16.245916,2.4902785,2
281,08087,15.155628,4.2667446,13
282,08089,3.1832423,2.6165843,12
283,08091,7.2855306,-1.4092206,17
284,08093,6.72956,-0.20420085,16
285,08095,14.115278,1.226675,2
286,08097,5.506912,0.40886223,16
287,08099,1.881975,5.45572,1
288,08101,8.313505,8.856869,3
289,08103,6.940179,5.8296986,8
290,08105,4.2384686,-0.19808382,5
291,08107,5.717565,1.1667807,16
292,08109,3.919035,0.24165726,5
293,08111,9.0900755,-2.7505705,0
294,08113,5.715038,1.1737301,16
295,08115,8.847608,-0.6636157,0
296,08117,8.481252,-6.4835896,0
297,08119,6.823082,-0.039711643,16
298,08121,4.4512057,3.741111,12
299,08123,15.265057,4.8933845,13
300,08125,7.9651937,5.289209,8
301,09001,9.426595,11.451894,6
302,09003,10.771051,11.88379,14
303,09005,5.1621,2.9948924,12
304,09007,5.2546525,3.1184409,12
305,09009,10.773509,11.955926,14
306,09011,6.880008,8.892879,19
307,09013,7.2119875,8.968677,19
308,09015,9.030276,9.804917,3
309,10001,15.713133,2.696969,2
310,10003,10.7170725,11.737239,14
311,10005,11.254116,-1.6185457,0
312,11001,5.3902097,11.508642,10
313,12001,-6.6575823,3.9234705,4
314,12003,6.666596,11.661833,6
315,12005,8.384675,9.126348,3
316,12007,11.540089,7.500934,11
